,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
2,Tag Heuer,Carrera,Stainless Steel,Leather,Automatic,4.605170185988092,3.713572066704308,2.5649493574615367,2.995732273553991,White,Sapphire,Chronograph,3.7376696182833684,4200.0
3,Breitling,Navitimer,Stainless Steel,Stainless Steel,Automatic,3.4011973816621555,3.7612001156935624,2.6567569067146595,3.091042453358316,Black,Sapphire,Chronograph,4.248495242049359,7900.0
5,Jaeger-LeCoultre,Reverso,Stainless Steel,Leather,Manual,3.4011973816621555,3.758871825933971,2.2192034840549946,2.995732273553991,Black,Sapphire,None,3.8066624897703196,5500.0
6,Seiko,Prospex,Stainless Steel,Rubber,Automatic,5.298317366548036,3.7909846770510898,2.5572273113676265,2.995732273553991,Black,Sapphire,Date,3.912023005428146,1400.0
8,Tissot,Le Locle,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6712245188752153,2.277267285009756,2.9444389791664403,White,Sapphire,Date,3.6375861597263857,650.0
9,Hamilton,Khaki Field,Stainless Steel,Leather,Automatic,4.605170185988092,3.6375861597263857,2.2823823856765264,2.995732273553991,Black,Sapphire,None,4.382026634673881,495.0
10,Longines,Master Collection,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6506582412937387,2.272125885509337,2.995732273553991,Silver,Sapphire,Date,4.1588830833596715,1150.0
11,Oris,Big Crown ProPilot,Stainless Steel,Textile,Automatic,4.605170185988092,3.713572066704308,2.4849066497880004,2.995732273553991,Black,Sapphire,"Date, GMT",3.6375861597263857,1800.0
12,Bell & Ross,Aviation,Stainless Steel,Rubber,Automatic,4.605170185988092,3.7376696182833684,2.4423470353692043,3.1780538303479458,Black,Sapphire,Chronograph,3.7376696182833684,4500.0
13,Sinn,104,Stainless Steel,Leather,Automatic,5.298317366548036,3.713572066704308,2.4423470353692043,2.995732273553991,Black,Sapphire,Date,3.7376696182833684,1400.0
14,Breguet,Classique,18k White Gold,Leather,Manual,3.4011973816621555,3.6375861597263857,2.157559320943788,2.995732273553991,Silver,Sapphire,None,3.6888794541139363,16000.0
15,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Silver,Sapphire,Date,4.0943445622221,22000.0
16,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,3.6888794541139363,19000.0
17,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.7376696182833684,2.6741486494265287,2.995732273553991,Black,Sapphire,"Chronograph, Tachymeter",4.0943445622221,4500.0
19,Panerai,Luminor Base Logo,Stainless Steel,Leather,Manual,4.605170185988092,3.784189633918261,2.3513752571634776,3.091042453358316,Black,Sapphire,None,4.02535169073515,3900.0
20,Tudor,Black Bay,Stainless Steel,Leather,Automatic,5.298317366548036,3.713572066704308,2.4765384001174837,3.091042453358316,Black,Sapphire,None,4.248495242049359,3500.0
21,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6888794541139363,2.5257286443082556,2.995732273553991,Black,Sapphire,GMT,3.871201010907891,14000.0
22,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.713572066704308,2.5257286443082556,2.995732273553991,Black,Sapphire,Date,3.7376696182833684,4800.0
23,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,3.912023005428146,3.6635616461296463,2.0255131996542803,2.995732273553991,Silver,Sapphire,None,4.248495242049359,7500.0
25,Montblanc,1858 Geosphere,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.4159137783010487,3.091042453358316,Black,Sapphire,"World Time, GMT",3.7376696182833684,6200.0
27,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Black,Sapphire,Date,4.0943445622221,21000.0
28,Rolex,Datejust,Stainless Steel,Jubilee,Automatic,4.605170185988092,3.58351893845611,2.4849066497880004,2.995732273553991,Silver,Sapphire,Date,4.248495242049359,9000.0
29,Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,3.912023005428146,3.7376696182833684,2.6602595372658615,2.995732273553991,Black,Hesalite,"Chronograph, Tachymeter",3.871201010907891,5250.0
30,IWC,Portugieser,Stainless Steel,Alligator,Automatic,3.4011973816621555,3.6988297849671046,2.509599262378372,2.995732273553991,Silver,Sapphire,Date,4.0943445622221,8800.0
31,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Black,Sapphire,Date,4.0943445622221,17800.0
33,Zenith,El Primero,Stainless Steel,Alligator,Automatic,4.605170185988092,3.7376696182833684,2.545531271604435,2.995732273553991,Silver,Sapphire,Chronograph,3.912023005428146,6500.0
34,Breguet,Classique,18K Rose Gold,Leather,Automatic,3.4011973816621555,3.6635616461296463,2.157559320943788,2.995732273553991,Silver,Sapphire,None,3.8066624897703196,23500.0
35,Piaget,Polo S,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.2407096892759584,3.1780538303479458,Blue,Sapphire,Date,3.912023005428146,10000.0
36,Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,4.605170185988092,3.784189633918261,2.5257286443082556,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,9500.0
37,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,2.995732273553991,Silver,Sapphire,Date,4.0943445622221,21500.0
38,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,3.4011973816621555,3.7612001156935624,2.50715725872282,3.1354942159291497,Black,Sapphire,None,4.219507705176107,9800.0
39,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,19900.0
41,Breguet,Type XXI,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.6282852326333477,3.091042453358316,Silver,Sapphire,Chronograph,3.871201010907891,9500.0
43,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.784189633918261,2.617395832834079,2.995732273553991,Black,Sapphire,Chronograph,3.7376696182833684,6500.0
44,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,2.995732273553991,Blue,Sapphire,None,3.9889840465642745,7800.0
45,Glashütte Original,Senator,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.501435951739211,3.044522437723423,Silver,Sapphire,None,3.6888794541139363,9200.0
46,Hublot,Classic Fusion,Titanium,Rubber,Automatic,3.912023005428146,3.7376696182833684,2.2300144001592104,2.995732273553991,Black,Sapphire,None,3.7376696182833684,6500.0
47,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Silver,Sapphire,None,4.0943445622221,8400.0
48,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,3.4011973816621555,3.7612001156935624,2.495681722955959,3.1354942159291497,Silver,Sapphire,None,4.219507705176107,6200.0
49,Longines,Master Collection,Stainless Steel,Leather,Automatic,3.4011973816621555,3.6506582412937387,2.2300144001592104,2.995732273553991,Blue,Sapphire,Date,3.7376696182833684,1600.0
50,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,29800.0
51,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.2823823856765264,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,24500.0
52,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Silver,Sapphire,None,4.0943445622221,7950.0
53,Hublot,Classic Fusion,Titanium,Rubber,Automatic,3.912023005428146,3.7376696182833684,2.3513752571634776,3.091042453358316,Black,Sapphire,None,3.7376696182833684,8200.0
55,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.5726122302071057,3.091042453358316,Silver,Sapphire,Chronograph,3.912023005428146,9400.0
56,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.6375861597263857,2.3869262414277967,3.2188758248682006,Blue,Sapphire,None,3.9889840465642745,6700.0
57,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.4362414778067194,2.995732273553991,Black,Sapphire,Chronograph,3.7376696182833684,6100.0
58,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,3.091042453358316,Blue,Sapphire,Date,4.0943445622221,16300.0
59,Montblanc,1858,Stainless Steel,Leather,Automatic,4.605170185988092,3.7376696182833684,2.5494451709255714,3.091042453358316,Black,Sapphire,None,3.6375861597263857,3600.0
61,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.713572066704308,2.4159137783010487,2.995732273553991,Silver,Sapphire,Date,4.248495242049359,8900.0
62,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.708682081410116,2.1162555148025524,2.995732273553991,Blue,Sapphire,"Date, Moon Phase",3.871201010907891,44500.0
63,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.341805806147327,2.995732273553991,Blue,Sapphire,Date,4.0943445622221,17000.0
64,Tudor,Black Bay,Stainless Steel,Fabric,Automatic,5.298317366548036,3.713572066704308,2.5416019934645457,3.091042453358316,Black,Sapphire,None,4.248495242049359,4500.0
65,IWC,Portugieser,Stainless Steel,Leather,Automatic,3.4011973816621555,3.713572066704308,2.509599262378372,3.091042453358316,Silver,Sapphire,"Chronograph, Date",3.828641396489095,8300.0
68,Hublot,Classic Fusion,Titanium,Rubber,Automatic,3.912023005428146,3.8066624897703196,2.3933394562625097,3.1780538303479458,Blue,Sapphire,Date,3.7376696182833684,7500.0
69,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,3.912023005428146,3.7376696182833684,2.642622395779755,3.091042453358316,Silver,Sapphire,"Chronograph, Date",3.912023005428146,6900.0
70,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.713572066704308,2.3978952727983707,2.995732273553991,Blue,Sapphire,"Date, Second Time Zone",4.0943445622221,15500.0
71,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.091042453358316,Black,Sapphire,None,3.9889840465642745,11200.0
72,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,3.912023005428146,3.6635616461296463,2.2407096892759584,2.995732273553991,Blue,Sapphire,"Date, Power Reserve Indicator",4.0943445622221,18900.0
73,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,4.787491742782046,3.7013019741124933,2.1162555148025524,2.995732273553991,Blue,Sapphire,Date,3.8066624897703196,49800.0
74,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,4.0943445622221,3.713572066704308,2.5257286443082556,2.995732273553991,Black,Sapphire,"Date, Chronograph",3.784189633918261,5500.0
76,Breguet,Type XX,Stainless Steel,Leather,Automatic,4.605170185988092,3.676300671907076,2.6461747973841225,2.995732273553991,Black,Sapphire,"Date, Chronograph, Flyback",3.871201010907891,8800.0
78,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,4.605170185988092,3.7376696182833684,2.3869262414277967,3.091042453358316,Blue,Sapphire,Date,3.9889840465642745,10600.0
79,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,5.0106352940962555,3.713572066704308,2.3978952727983707,2.995732273553991,Black,Sapphire,Date,4.0943445622221,19200.0
